subject,condition,trial,reaction_time_ms
1,A,1,679.3307983068149
1,A,2,579.6147043352865
1,A,3,705.4612115817154
1,A,4,878.0355822706989
1,A,5,565.8852457005521
1,A,6,565.8875683493592
1,A,7,890.455259165479
1,A,8,726.8995791350416
1,A,9,533.5544133676932
1,A,10,687.1617208943194
1,A,11,534.3629191586323
1,A,12,534.0541385232261
1,A,13,637.414546350686
1,A,14,371.89427022571715
1,A,15,389.82588748320853
1,A,16,521.3167241622933
1,A,17,465.783938413337
1,A,18,649.0381439287875
1,A,19,478.14959144026506
1,A,20,421.51431119658304
1,A,21,865.529836748875
1,A,22,567.071603220755
1,A,23,610.2152149808968
1,A,24,420.2049668991958
1,A,25,523.6554731480741
1,A,26,616.8712324202181
1,A,27,449.97015613295446
1,A,28,659.086087695231
1,A,29,516.3423336117501
1,A,30,557.8032032172194
1,A,31,516.2044986377078
1,A,32,953.3663060785685
1,A,33,597.9788282332514
1,A,34,460.58707371440937
1,A,35,736.9837795842693
1,A,36,442.18075335434463
1,A,37,632.1619137435541
1,A,38,367.60615138336067
1,A,39,430.4723710194113
1,A,40,630.2678981663652
1,A,41,721.6543612338178
1,A,42,626.2638234405586
1,A,43,582.9011305750402
1,A,44,556.4925210259509
1,A,45,414.59376347724054
1,A,46,501.1816464399476
1,A,47,534.7342863420708
1,A,48,781.4961408916805
1,A,49,653.8214013936747
1,A,50,386.12826861474946
1,A,51,650.6361961786027
1,A,52,544.9309476694959
1,A,53,506.5885598711902
1,A,54,699.1384053502476
1,A,55,776.4090719339549
1,A,56,757.2925852176544
1,A,57,486.4456963905603
1,A,58,555.3655587037352
1,A,59,651.8050492948764
1,A,60,765.7195170823562
1,A,61,532.2621311702586
1,A,62,572.7875677421906
1,A,63,455.0220647424643
1,A,64,444.91266264993135
1,A,65,735.1401128805129
1,A,66,842.1765422193397
1,A,67,589.2951282635985
1,A,68,771.0960001991921
1,A,69,656.7731396228581
1,A,70,510.6322769435008
1,A,71,656.7336655352625
1,A,72,881.3358755687096
1,A,73,594.6500881660289
1,A,74,887.2178622958442
1,A,75,311.6850987336441
1,A,76,736.865428069417
1,A,77,613.2001688005112
1,A,78,556.7842475598792
1,A,79,613.9232064212922
1,A,80,365.0511302198502
1,A,81,567.9376736759968
1,A,82,656.0308387272413
1,A,83,868.1835595176456
1,A,84,527.0851448375366
1,A,85,490.1964624348748
1,A,86,529.2656047984884
1,A,87,754.2924704506032
1,A,88,651.3957918321047
1,A,89,525.5732671417159
1,A,90,682.1479115911503
1,A,91,614.7397715406947
1,A,92,764.3997634054336
1,A,93,503.41575618612677
1,A,94,552.8098654194309
1,A,95,543.9746339133915
1,A,96,416.15214150966995
1,A,97,646.1035108640691
1,A,98,640.4643583992355
1,A,99,600.7675089698264
1,A,100,565.8238846222856
1,B,1,386.0919651278265
1,B,2,495.09860637853865
1,B,3,504.8390416653559
1,B,4,450.0456224830582
1,B,5,528.2643653274885
1,B,6,608.4598890036362
1,B,7,881.3587524334581
1,B,8,574.5359844436005
1,B,9,586.5781315864748
1,B,10,539.8583548328218
1,B,11,340.43542989364244
1,B,12,546.366398038462
1,B,13,558.3443187171351
1,B,14,1018.136023290424
1,B,15,524.1762784643489
1,B,16,593.0656575181939
1,B,17,545.2477812287585
1,B,18,410.65307932618543
1,B,19,731.8854274657527
1,B,20,663.7473210055747
1,B,21,670.267083463388
1,B,22,438.15442403426425
1,B,23,781.032573159633
1,B,24,387.3991328275907
1,B,25,636.9126708052388
1,B,26,951.0172343052337
1,B,27,429.35504911070257
1,B,28,477.39481160732385
1,B,29,563.8741675913479
1,B,30,484.9517321755894
1,B,31,373.25148704614713
1,B,32,559.508669058656
1,B,33,421.72032180885225
1,B,34,619.1306928662523
1,B,35,437.05638737577215
1,B,36,810.2978365134117
1,B,37,452.19113484092094
1,B,38,507.4523927746144
1,B,39,674.0454774307676
1,B,40,404.3182029949163
1,B,41,582.1820863111387
1,B,42,762.5773658902518
1,B,43,367.9869477930316
1,B,44,575.9821916015918
1,B,45,586.9202655516359
1,B,46,668.7257234518166
1,B,47,403.7034607928724
1,B,48,395.3629188410352
1,B,49,626.6597122561648
1,B,50,592.3895526093532
1,B,51,585.5440943626905
1,B,52,599.7604530624459
1,B,53,464.01278133705017
1,B,54,582.8802152322761
1,B,55,591.8104492592977
1,B,56,460.0478122335414
1,B,57,876.8727684927394
1,B,58,619.167917713163
1,B,59,408.3368326078409
1,B,60,648.107566580109
1,B,61,431.0602453240826
1,B,62,669.6059661537832
1,B,63,734.777089026747
1,B,64,447.979601332592
1,B,65,699.777418241037
1,B,66,609.7893135965131
1,B,67,675.4865987701448
1,B,68,883.6990149985227
1,B,69,517.2732419095813
1,B,70,455.54032284378445
1,B,71,440.33670408289464
1,B,72,448.5255766598621
1,B,73,539.500035701306
1,B,74,598.96686053207
1,B,75,589.3916940895731
1,B,76,676.352297531251
1,B,77,551.7906688168849
1,B,78,791.0030293366206
1,B,79,514.7874360449318
1,B,80,1085.6786668952207
1,B,81,643.1224330227841
1,B,82,443.91312954984943
1,B,83,420.8157770504371
1,B,84,620.5066874081763
1,B,85,520.1163735861736
1,B,86,657.4826670146543
1,B,87,619.0757774711341
1,B,88,540.0766371098248
1,B,89,445.0647818266317
1,B,90,376.60860760469694
1,B,91,491.90693407219766
1,B,92,681.3103824287228
1,B,93,580.2399438350394
1,B,94,402.8174910449677
1,B,95,574.3353790143811
1,B,96,605.6169092151507
1,B,97,440.9598901088104
1,B,98,571.548620417772
1,B,99,558.0622179332855
1,B,100,413.3008192652222
2,A,1,656.1415186342739
2,A,2,690.2996556085703
2,A,3,786.5784521843824
2,A,4,780.8477342038283
2,A,5,425.1798743822704
2,A,6,474.6004989167267
2,A,7,682.4494593060713
2,A,8,682.2363437811371
2,A,9,682.4515781609349
2,A,10,1572.0134483456657
2,A,11,692.0458999942579
2,A,12,796.9732104676992
2,A,13,761.6065593937678
2,A,14,706.1145440588656
2,A,15,554.5252509887227
2,A,16,725.3628122273773
2,A,17,494.58713883336713
2,A,18,565.508317421011
2,A,19,531.4391841880839
2,A,20,612.4076711414262
2,A,21,1070.1930126948428
2,A,22,376.1971560144712
